longitude,latitude,damage,date
-95.8121,29.666,0.005,1/9/2012
-95.6565,29.6756,0.5,1/9/2012
-95.5771,29.3492,0.015,1/9/2012
-95.44,29.2654,0.02,1/9/2012
-95.4356,29.2827,0.01,1/9/2012
-95.0294,29.407,0.05,1/9/2012
-81.794,35.351,0,1/11/2012
-81.485,35.659,13.4,1/11/2012
-81.3777,35.7587,0,1/11/2012
-86.9999,38.2794,0.004,1/17/2012
-86.9226,38.3302,0.02,1/17/2012
-85.4625,38.7601,0.04,1/17/2012
-85.8888,38.3075,0.01,1/17/2012
-85.758,38.3306,0.02,1/17/2012
-85.6328,38.2839,0.3,1/17/2012
-85.6041,38.1721,0.05,1/17/2012
-84.6631,38.1973,0.03,1/17/2012
-86.4652,36.7019,0.085,1/17/2012
-86.4742,36.0371,0.25,1/17/2012
-89.7422,31.079,0.25,1/17/2012
-84.7583,33.3142,0.01,1/21/2012
-84.0641,32.3404,0.3,1/21/2012
-83.7964,32.2264,0.025,1/21/2012
-92.5452,33.7634,4.125,1/22/2012
-91.9074,34.5156,0.1,1/22/2012
-91.8409,34.1347,0.175,1/22/2012
-91.7274,34.1925,0.825,1/22/2012
-91.4269,34.329,1,1/22/2012
-91.4365,34.2073,0.25,1/22/2012
-91.1255,34.4847,0.325,1/22/2012
-88.3652,38.0331,0.25,1/22/2012
-90.7148,34.0797,0.7,1/22/2012
-88.0765,38.3299,0.03,1/22/2012
-90.3036,34.2617,0.05,1/22/2012
-88.32,36.5,0.05,1/22/2012
-88.3925,35.585,0.05,1/22/2012
-87.1818,36.9858,0.125,1/23/2012
-88.2364,32.9287,0,1/23/2012
-87.6579,33.3257,0,1/23/2012
-87.444,33.3961,0,1/23/2012
-87.3071,33.4316,0,1/23/2012
-88.1705,32.6567,0,1/23/2012
-86.7411,33.6228,0,1/23/2012
-87.3096,32.7068,0,1/23/2012
-87.2748,32.7159,0,1/23/2012
-86.2951,33.2957,0,1/23/2012
-86.6329,32.7288,0,1/23/2012
-86.4119,32.5209,0,1/23/2012
-100.398,30.0675,0,1/24/2012
-97.6536,30.3221,0,1/25/2012
-98.6645,29.4556,0,1/25/2012
-97.3407,29.8544,0.005,1/25/2012
-96.73,30.4506,0.2,1/25/2012
-96.3729,30.2318,0.03,1/25/2012
-95.9702,30.9667,0.01,1/25/2012
-95.5765,30.7241,0.05,1/25/2012
-95.5659,30.7247,0.03,1/25/2012
-94.692,31.912,0.1,1/25/2012
-94.632,32.006,0,1/25/2012
-95.2846,29.5691,0.015,1/25/2012
-94.43,30.46,0.01,1/25/2012
-94.1903,30.5388,0.02,1/25/2012
-94.02,30.75,0.005,1/25/2012
-93.9221,30.6494,0.05,1/25/2012
-93.54,31.1,0.02,1/25/2012
-93.317,31.428,0.05,1/25/2012
-93.19,31,0.02,1/25/2012
-92.73,31.14,0.05,1/25/2012
-92.72,31.33,0.04,1/25/2012
-92.33,31.27,0.1,1/25/2012
-93.31,30.26,0.1,1/25/2012
-92.7626,29.7179,0.01,1/25/2012
-90.22,31.74,0.01,1/25/2012
-92.1415,30.2286,0.075,1/25/2012
-89.5605,30.9895,0.01,1/26/2012
-89.3808,29.3038,0.01,1/26/2012
-88.417,31.7619,0.007,1/26/2012
-87.4989,32.4383,0,1/26/2012
-82.028,26.998,0.03,1/27/2012
-92.83,30.64,0.02,2/1/2012
-88.2286,33.9735,0.025,2/1/2012
-100.7,35.55,0.25,2/3/2012
-96.47,30.49,0.15,2/3/2012
-96.4313,30.522,0.5,2/3/2012
-93.3441,30.7954,0.1,2/4/2012
-92.6377,30.0241,0.022,2/18/2012
-85.1454,34.2588,1.6,2/22/2012
-81.3797,33.7063,0.3,2/24/2012
-83.577,31.299,0.02,2/24/2012
-80.537,33.7026,0.01,2/24/2012
-80.8933,32.8819,0.125,2/24/2012
-76.3012,37.3337,0.02,2/24/2012
-100.565,41.3836,0.01,2/28/2012
-97.9836,39.5788,0.035,2/28/2012
-97.9322,39.6189,0,2/28/2012
-97.6795,39.7876,0,2/28/2012
-98.0237,37.9217,0.03,2/28/2012
-98.0039,37.9385,0,2/28/2012
-98.6074,41.55,0.05,2/28/2012
-97.5105,38.1828,0.015,2/28/2012
-95.9822,38.7815,0,2/28/2012
-95.4142,38.7238,0,2/28/2012
-94.5557,37.3908,0.25,2/28/2012
-93.8529,37.4533,0.25,2/28/2012
-93.1902,37.55,0.65,2/28/2012
-92.8139,37.5933,0.75,2/29/2012
-92.8359,37.7125,0.5,2/29/2012
-93.9178,36.6994,0.575,2/29/2012
-91.877,37.708,0,2/29/2012
-93.46,36.6223,20.5,2/29/2012
-90.5331,37.3983,0.1,2/29/2012
-89.9047,37.4689,0.17,2/29/2012
-89.73,37.5,0.35,2/29/2012
-89.73,37.5,0.15,2/29/2012
-90.1891,36.9,0.15,2/29/2012
-89.5207,37.5555,0.2,2/29/2012
-89.8119,37.03,0.25,2/29/2012
-89.05,37.63,0.1,2/29/2012
-88.65,37.6945,2,2/29/2012
-89.2,37.11,0.3,2/29/2012
-89.2,37.11,0.05,2/29/2012
-89.0991,37.1439,0.25,2/29/2012
-87.545,37.9073,0.08,2/29/2012
-87.4148,37.9434,0.25,2/29/2012
-87.493,37.3434,0.01,2/29/2012
-87.1722,37.2015,0.1,2/29/2012
-87.1882,37.1984,0.03,2/29/2012
-85.9034,37.6199,0.2,2/29/2012
-86.1576,37.4819,0.05,2/29/2012
-85.7672,37.5566,0.2,2/29/2012
-85.7295,37.5607,0.02,2/29/2012
-83.3714,37.8744,0.1,2/29/2012
-85.6843,37.1343,0.01,2/29/2012
-85.0814,37.1185,0.21,2/29/2012
-84.5777,37.1792,0.05,2/29/2012
-85.8529,35.9724,0.7,2/29/2012
-85.5298,36.0213,0.01,2/29/2012
-85.1102,36.0887,1,2/29/2012
-84.1285,35.6911,0.025,2/29/2012
